a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
1014.714286,1233.285714,196.4285714,620,2353.285714,74.85714286,1365.142857,3.3,3.3,3.1,2.9
875.7142857,1202.285714,177.5714286,549,1255.142857,64.85714286,1358,3.3,3.1,2.9,3.3
645.2857143,1094.571429,147.8571429,467.7142857,1139.571429,53.42857143,1188.714286,3.1,2.9,3.3,3.5
548.4285714,1116.285714,130.1428571,483.8571429,1193.571429,46.71428571,1226.857143,2.9,3.3,3.5,2.6
721.2857143,1174.428571,148.4285714,507.8571429,1274.714286,63,1354,3.3,3.5,2.6,2.7
810.4285714,1137,149.7142857,565.5714286,1225.714286,36.85714286,1300.857143,3.5,2.6,2.7,2.8
758.5714286,1089.857143,157,552.4285714,1193.428571,26.14285714,1305.428571,2.6,2.7,2.8,3
732.5714286,1131.857143,166,570,1198,54.85714286,1317.857143,2.7,2.8,3,3
757.1428571,1186.714286,177.7142857,633,1227.285714,69.42857143,1378.285714,2.8,3,3,3
748.8571429,1166.428571,174.2857143,661.7142857,1276.142857,55.85714286,1432.571429,3,3,3,3
813.4285714,1148.285714,187.2857143,631.8571429,1287.142857,47.14285714,1416.714286,3,3,3,3.1
635.2857143,1163.142857,159.2857143,632,1272.428571,73,1410.142857,3,3,3.1,3.4
461.2857143,1092.714286,140.7142857,707.2857143,1192.142857,46.14285714,1294,3,3.1,3.4,3.2
395.4285714,1053.714286,105.2857143,787.2857143,1163.714286,44.42857143,1327,3.1,3.4,3.2,3.2
378.7142857,1038,104.5714286,762.7142857,1124.142857,46.28571429,1276.571429,3.4,3.2,3.2,3.1
367.4285714,1006.714286,123.2857143,757.8571429,1095.142857,26.42857143,1278.428571,3.2,3.2,3.1,3.2
476.1428571,1032.428571,130.2857143,816.1428571,1103.142857,26.14285714,1234.428571,3.2,3.1,3.2,3.3
383.1428571,1012.714286,137.5714286,878.2857143,1117.571429,36.42857143,1244.571429,3.1,3.2,3.3,3.3
352.2857143,1003,116.2857143,818,1076,35.42857143,1218.857143,3.2,3.3,3.3,3.4
313,950.4285714,110.2857143,758.5714286,1028.285714,35.85714286,1256.571429,3.3,3.3,3.4,3.6
268,892.1428571,94.28571429,716.8571429,1021.428571,9.285714286,1167.714286,3.3,3.4,3.6,3.4
291.5714286,877.8571429,100.5714286,691.1428571,1009.571429,0,1230.571429,3.4,3.6,3.4,3.5
293.8571429,918.5714286,97.14285714,705.7142857,1035.714286,18,1240.857143,3.6,3.4,3.5,3.8
336.1428571,957.7142857,132.8571429,681.7142857,1046.857143,18,1233.142857,3.4,3.5,3.8,3.7
558.4285714,1026.428571,136.1428571,733.2857143,1060.142857,44.71428571,1207.142857,3.5,3.8,3.7,4.2
660.5714286,1023.571429,149.1428571,724.7142857,1072.285714,63.14285714,1242.857143,3.8,3.7,4.2,4.3
815.2857143,1089.857143,154.8571429,734.7142857,1129,50.85714286,1326.857143,3.7,4.2,4.3,4.1
784.5714286,1154.142857,157.8571429,725,1150.285714,65.71428571,1321.857143,4.2,4.3,4.1,4
761.7142857,1097.428571,157.1428571,727.8571429,1159.142857,92.85714286,1339.714286,4.3,4.1,4,3.6
642.5714286,1085.142857,143,699.8571429,1145.142857,78.14285714,1318.571429,4.1,4,3.6,3.6
1019.571429,1109,175.5714286,724.2857143,1185.285714,119.7142857,1349.714286,4,3.6,3.6,3.6
883,1149.428571,158.2857143,802.8571429,1200.285714,74.28571429,1366.142857,3.6,3.6,3.6,3.4
843.5714286,1207,156.2857143,842.2857143,1377.571429,64,1399.428571,3.6,3.6,3.4,3.4
766.8571429,1160.142857,143.7142857,809,1559.857143,56.57142857,1359.714286,3.6,3.4,3.4,3.1
678,1198.142857,140.5714286,873.2857143,1723.571429,54.71428571,1322.857143,3.4,3.4,3.1,3.3
632.1428571,1240.857143,151.4285714,931.4285714,1791,65,1423.285714,3.4,3.1,3.3,3.1
