a1,t-3,t-2,t-1,t
52,2.4,2,1.9,2.2
26.14285714,2,1.9,2.2,1.8
34,1.9,2.2,1.8,2
8.714285714,2.2,1.8,2,
34,1.8,2,,1.9
9,2,,1.9,1.9
25.28571429,,1.9,1.9,1.7
51.14285714,1.9,1.9,1.7,1.8
52.85714286,1.9,1.7,1.8,
87.28571429,1.7,1.8,,2
100.7142857,1.8,,2,2.1
119,,2,2.1,2.2
135.8571429,2,2.1,2.2,2.5
131.1428571,2.1,2.2,2.5,2.4
110,2.2,2.5,2.4,2.2
117.1428571,2.5,2.4,2.2,2.3
146.2857143,2.4,2.2,2.3,2.4
151.8571429,2.2,2.3,2.4,2.5
149.7142857,2.3,2.4,2.5,2.5
151.5714286,2.4,2.5,2.5,
142.2857143,2.5,2.5,,2.4
145.7142857,2.5,,2.4,2.6
144.2857143,,2.4,2.6,2.7
131.8571429,2.4,2.6,2.7,2.8
139.7142857,2.6,2.7,2.8,2.9
130.4285714,2.7,2.8,2.9,3.1
126.7142857,2.8,2.9,3.1,2.5
107.7142857,2.9,3.1,2.5,2.7
102,3.1,2.5,2.7,2.6
108.5714286,2.5,2.7,2.6,2.4
71.71428571,2.7,2.6,2.4,2
62.28571429,2.6,2.4,2,2.6
8.428571429,2.4,2,2.6,2.7
42.71428571,2,2.6,2.7,1.7
57.57142857,2.6,2.7,1.7,1.6
95.42857143,2.7,1.7,1.6,1.8
105.2857143,1.7,1.6,1.8,1.9
105.7142857,1.6,1.8,1.9,2.1
126,1.8,1.9,2.1,2.2
105,1.9,2.1,2.2,2.1
108,2.1,2.2,2.1,2.2
70.14285714,2.2,2.1,2.2,2.3
99.42857143,2.1,2.2,2.3,2.4
100.7142857,2.2,2.3,2.4,2.5
81,2.3,2.4,2.5,2.4
78.71428571,2.4,2.5,2.4,2.7
72.42857143,2.5,2.4,2.7,2.8
54.85714286,2.4,2.7,2.8,3
71,2.7,2.8,3,3.1
65.57142857,2.8,3,3.1,2.9
8.714285714,3,3.1,2.9,2.7
17.85714286,3.1,2.9,2.7,2.6
17.85714286,2.9,2.7,2.6,2.4
8.714285714,2.7,2.6,2.4,2.4
8.428571429,2.6,2.4,2.4,2.4
0,2.4,2.4,2.4,2.4
0,2.4,2.4,2.4,2.3
8.714285714,2.4,2.4,2.3,2.2
17.42857143,2.4,2.3,2.2,2
34,2.3,2.2,2,1.7
17.42857143,2.2,2,1.7,1.6
28.28571429,2,1.7,1.6,1.8
53.85714286,1.7,1.6,1.8,2.1
61.57142857,1.6,1.8,2.1,2.2
63.42857143,1.8,2.1,2.2,2.2
72.71428571,2.1,2.2,2.2,2.2
55.71428571,2.2,2.2,2.2,2
74,2.2,2.2,2,2.3
121.1428571,2.2,2,2.3,2.6
121.8571429,2,2.3,2.6,2.6
146,2.3,2.6,2.6,2.7
128.4285714,2.6,2.6,2.7,2.8
115.5714286,2.6,2.7,2.8,2.8
110.8571429,2.7,2.8,2.8,3
129.1428571,2.8,2.8,3,3.3
115.2857143,2.8,3,3.3,
141.8571429,3,3.3,,3.9
149.7142857,3.3,,3.9,4.1
120.8571429,,3.9,4.1,4
119.2857143,3.9,4.1,4,3.7
118.2857143,4.1,4,3.7,3.1
107.1428571,4,3.7,3.1,2.6
76.28571429,3.7,3.1,2.6,3.5
63.42857143,3.1,2.6,3.5,2.2
0,2.6,3.5,2.2,1.9
36.85714286,3.5,2.2,1.9,1.9
65.28571429,2.2,1.9,1.9,2.2
114.5714286,1.9,1.9,2.2,2.5
124.8571429,1.9,2.2,2.5,2.4
127.8571429,2.2,2.5,2.4,2.2
95.85714286,2.5,2.4,2.2,2
93.57142857,2.4,2.2,2,2.2
47.14285714,2.2,2,2.2,
45,2,2.2,,
,2.2,,,
